created_at,text
2020-10-03 03:17:22,"2020 man: hey

2019 man: hey how is tesla doing in 2020?

2020: production and deliveries grow so much that they can litterally shut their factory down for weeks and still produce and deliver more cars than 2019 

2019: Bullshit. they’d never shut down the factory 

2020: lol"
2020-10-03 03:18:47,@vincent13031925 @stevenmarkryan When I hear children talk how much they love @tesla it makes me proud. They are more educated than so many adults lol.
2020-10-03 03:09:39,@Sofiaan @elonmusk @Tesla I bought 1 TSLA Share @ $415...15:59; 10/02
2020-10-03 03:15:05,"Bollywood Gupshup,Tesla to acquire German battery assembly maker: source https://t.co/zVVEA14a6t"
2020-10-03 03:10:02,@Ness_Sixteen @bobbakh @rezzrunr @amandaknox @AndrewYang Now if Tesla had factories only in the US and exported globally then you would benefit from it. But these companies won't do that because of the difficulty of getting material.
2020-10-03 03:08:25,"@alisailan5 @elonmusk @Tesla @EvaFoxU @vincent13031925 @WholeMarsBlog @Kristennetten @kimbal Gorgeous jacket &amp; smart kid.  Hey Guys, your local Tesla Owner Club can give y’all a 20% discount on official Tesla apparel. We have great events as well. You don’t *have* to live in Austin to join our club. ❤️🇺🇸🚘 https://t.co/HcGNztgO31"
2020-10-03 03:13:48,"@TeslaUnofficial Use my referral link to receive 1,000 free Supercharger miles with the purchase and delivery of a new Tesla car, or earn a $100 award after system activation by purchasing or subscribing to solar panels: https://t.co/V1N4pBQP6n"
2020-10-03 03:14:26,@enn_nafnlaus @DirtyTesla @moosuraj @Tesla @elonmusk @AdamHoov @WholeMarsBlog @28delayslater Did you use NVIDIA's Thingy to do this?
2020-10-03 03:13:52,@MatchasmMatt @freshjiva @madmanx89 Wish we could cancel our SunRun lease and replace with Tesla.
2020-10-03 03:17:30,"Does Apple have a strategy? I think I'm seeing a few:

1) they're reducing the size of everything, at the coast of ports and battery life

2) they're aiming for the luxury market, and then after manny year offer a solution for the mass market (kind of like tesla's plan?)"
2020-10-03 03:08:14,"One of our doctors was complaining the other night that our hospital doesn’t have outlets for his hybrid car. Sir, we have have horse tie-ups for the Amish, you really expected Tesla chargers??"
2020-10-03 03:09:09,@bburkeyy @stephaniae__ You can keep it honestly I’m driving the Tesla for now cause I’m all about the environment
2020-10-03 03:13:52,‘Next year for sure’: Elon Musk on Tesla’s entry in Indian market #ศาสตร์เกษตรดินปุ๋ย https://t.co/6QqtCcp5fi
2020-10-03 03:09:07,"Medium pizza fits perfectly snug in the frunk of the Model S 🍕⚡️♥️ 
#FrunkPizza #Tesla @elonmusk https://t.co/Dv7JCg5tGD"
2020-10-03 03:15:52,"@elonmusk The wall of radiation at the end of the solar system that creates an impossible barrier for humans to escape? 🧬💫⭐️
https://t.co/2Em4XhsRf7

On to the stars! 💯🧳👏👏👏 @Tesla https://t.co/oK8h0DIWYf"
2020-10-03 03:07:29,"In the first three quarters of 2019, Tesla delivered 255,200 cars. 

In the first three quarters of 2020, they delivered 318,350 — despite the pandemic. 

Sales grew 25% over last year at a time when every other brand saw sales shrink. 43% over Q3 2019. 

That’s incredible. https://t.co/0wZhbguhxl"
2020-10-03 03:16:35,Tesla acquires a battery company. https://t.co/TIRnLJIg7C
2020-10-03 03:06:25,Did you guys win a Tesla? 😂😂
2020-10-03 03:07:21,"@DavidDobrik forget the tesla, i'd really like your portfolio  with your perfume! 🙃"
2020-10-03 03:16:57,"@_BRCooper @WholeMarsBlog Then we get the ‘Tesla lose on every sale, so lots of sales = lots of losses’ 😂 The FUD gets more and more ridiculous."
2020-10-03 03:15:08,jojo siwa has a tesla with her face all over it?!?!
2020-10-03 03:13:48,"I ran across a 64 page declassified document from the FBI. 

On the 3rd page it said Tesla was from Venus. 

Anyway keep scrolling."
2020-10-03 03:19:33,@owillis America it's been like a Tesla ..it's been running itself for 4 yrs...
2020-10-03 03:11:29,@alisailan5 @elonmusk @Tesla @EvaFoxU @vincent13031925 @WholeMarsBlog @Kristennetten @kimbal Cool kid.
2020-10-03 03:16:22,Been going to all the big comment sections posting about $VRME... Tesla fans told me to go fuck myself....😂😂😂😂😂😂... But who was in the green today and who fucking tanked..... Thank me later... It's not to late to get in it's going up I'm sure above 5 dollars soon.
2020-10-03 03:13:53,‘Next year for sure’: Elon Musk on Tesla’s entry in Indian market #ศาสตร์เกษตรดินปุ๋ย https://t.co/Zmfe3eSUAe
2020-10-03 03:16:53,Tesla not bouncing back until gets under https://t.co/ruYF6Kg3d8
2020-10-03 03:18:43,@Teslarati Tried tested and trusted... Elon and Tesla is full of life.
2020-10-03 03:12:05,"Not Tesla's biggest threat, it'll be a threat for gas cars. https://t.co/IQ4F88WgRd"
2020-10-03 03:17:44,"Tesla, SolarCity and the future of Solar Energy https://t.co/MHl3ObdHQ0 https://t.co/rNZ68GcsSq"
2020-10-03 03:15:52,@alisailan5 @AustinTeslaClub @elonmusk @Tesla @EvaFoxU @vincent13031925 @WholeMarsBlog @Kristennetten @kimbal @elonmusk @Tesla  a Blue Jacket would be cool /Blue on white or red.
2020-10-03 03:16:23,@_BRCooper @WholeMarsBlog @Tesla sees 2M Car deliveries: 🐻: EVs have peaked. Over saturation will lead to collapse.
2020-10-03 03:12:53,"Yo @elonmusk Thanks to your supply agreement with Piedmont Lithium, I made some extra cash in the stock market. Enough money to buy an engagement ring for my girlfriend 😁 #teslamoney #tesla https://t.co/ep50JdniB1"
2020-10-03 03:15:52,"@TeslaClubIN @elonmusk @WholeMarsBlog @MKBHD @elonmusk sorry sir say to you ,
You don't come india ,india make his own tesla , INDIAN entrepreneur make own . Before 2021 indian make it ."
