Date,Open,High,Low,Close,Volume,Market Cap
"Apr 03, 2019","1,03","1,04","0,923427","0,945043",8.329.667,628.179.638
"Apr 02, 2019","0,982972","1,03","0,936914","1,02",9.297.473,678.087.695
"Apr 01, 2019","1,06","1,07","0,97334","0,982625",6.807.342,650.994.455
"mar. 31, 2019","0,94756","1,1","0,944063","1,06",8.951.421,704.639.139
"mar. 30, 2019","0,89151","0,948936","0,8722","0,94756",4.314.599,628.905.003
"mar. 29, 2019","0,788943","0,950632","0,780392","0,896609",8.197.917,594.080.079
"mar. 28, 2019","0,724971","0,805524","0,71627","0,788943",4.956.700,524.552.175
"mar. 27, 2019","0,670344","0,725332","0,66746","0,724971",2.937.562,481.208.740
"mar. 26, 2019","0,685032","0,685032","0,65762","0,671928",2.548.318,445.240.788
"mar. 25, 2019","0,672568","0,7388","0,661414","0,685899",3.905.513,456.085.088
"mar. 24, 2019","0,727476","0,732536","0,66322","0,671714",3.313.285,445.899.002
"mar. 23, 2019","0,753899","0,76308","0,688333","0,728958",3.785.229,483.078.629
"mar. 22, 2019","0,828059","0,834115","0,727539","0,753382",6.406.358,501.025.722
"mar. 21, 2019","0,640794","0,842599","0,640794","0,833034",11.691.539,552.557.969
"mar. 20, 2019","0,594183","0,644145","0,549706","0,642404",8.920.631,390.253.615
"mar. 19, 2019","0,496391","0,595511","0,491455","0,595454",8.245.966,361.731.570
"mar. 18, 2019","0,49508","0,498605","0,486593","0,49581",5.525.118,301.199.111
"mar. 17, 2019","0,502719","0,504862","0,484487","0,494686",5.422.359,300.516.446
"mar. 16, 2019","0,452566","0,51028","0,45135","0,50431",6.822.114,306.363.086
"mar. 15, 2019","0,448479","0,454955","0,446222","0,452486",5.032.533,274.880.457
"mar. 14, 2019","0,452846","0,452865","0,440178","0,448842",5.568.959,272.666.718
"mar. 13, 2019","0,459547","0,461793","0,444895","0,453465",4.759.526,275.474.868
"mar. 12, 2019","0,453693","0,462082","0,435719","0,45863",5.170.766,278.612.540
"mar. 11, 2019","0,454303","0,483927","0,448672","0,453566",5.460.803,275.536.385
"mar. 10, 2019","0,418145","0,467636","0,416513","0,453918",6.465.065,275.750.089
"mar. 09, 2019","0,412877","0,420104","0,407882","0,417429",4.670.527,253.583.438
"mar. 08, 2019","0,418514","0,422063","0,4078","0,411166",5.101.664,249.779.105
"mar. 07, 2019","0,42081","0,423855","0,413826","0,417988",5.129.994,253.922.998
"mar. 06, 2019","0,419525","0,428369","0,416374","0,41985",4.784.500,255.054.371
"mar. 05, 2019","0,407429","0,424089","0,404828","0,419979",4.415.497,255.132.716
"mar. 04, 2019","0,404982","0,412259","0,39795","0,405765",4.848.080,246.497.631
"mar. 03, 2019","0,405552","0,422028","0,402475","0,405318",4.894.782,246.226.141
"mar. 02, 2019","0,410496","0,413108","0,402604","0,406324",4.317.693,246.837.105
"mar. 01, 2019","0,409746","0,416146","0,408032","0,411654",5.116.450,250.075.551
"Feb 28, 2019","0,411682","0,413341","0,405568","0,41003",3.289.303,249.088.934
"Feb 27, 2019","0,408188","0,418069","0,406759","0,411866",5.092.529,250.203.994
"Feb 26, 2019","0,429614","0,431939","0,402687","0,40784",4.253.910,247.758.217
